,sport,school,coach
1,baseball,Paxton,Nate Moore
2,baseball,Bozeman,Jeff Patton
3,baseball,Freeport,Shane Williams
4,baseball,Fort White,Rick Julius
5,baseball,Baker,John Crossley
6,baseball,Dixie County,Kirby Roberts
7,baseball,Blountstown,Emory Horne
8,baseball,Sneads,Andy Shelton
9,baseball,Port St. Joe,Ashley Summerlin
10,baseball,Jay,Mike Roberts
11,baseball,Fort Meade,Jonathan Spradlin
12,baseball,Liberty County,Bryan Normand
13,baseball,Lafayette,Tim Hanson
14,baseball,Cottondale,Skylar Davis
15,baseball,Graceville,Greg Ohler
16,baseball,Williston,Jim Smith
17,baseball,Newberry,Mike Spina
18,baseball,Trenton,Scott Hall
19,baseball,Taylor County,Reggie Wentworth
20,baseball,Madison County,Jason Fletcher
21,baseball,Chipley,Andy Compton
22,baseball,Branford,Alex O'Quinn
23,baseball,Altha,Joseph Taylor
24,baseball,Malone,Chris Truette
25,baseball,Northview,Jeremy Greenwell
26,baseball,Laurel Hill,Cory McSween
27,baseball,Wildwood,Bob Thomas
28,baseball,Hamilton County,Chris Howard
29,baseball,Bell,Josh Wasson
30,baseball,Wewahitchka,Travis Scorza
31,baseball,Franklin County,Kevin Cox
32,baseball,Holmes County,Jeromy Powell
33,baseball,Central,Duane Raley
34,baseball,Crescent City,Tim Ross
35,baseball,Ponce De Leon,Chris Peterson
36,baseball,Hilliard,Joe Perez
37,baseball,Bethlehem,Aaron Mollet
38,baseball,Parsons Christian Academy,Mike Toney
39,baseball,Foundation Christian Academy,David Mcneely
40,baseball,Wakulla Christian School,Bubba Dempsey
41,baseball,Seacrest Country Day,Mark Marsala
42,baseball,Seffner Christian,Sal Giardina
43,baseball,St. Johns Country Day,Tom Lucas
44,baseball,Real Life Christian Academy,Mike Koronka
45,baseball,Out-of-Door Academy,Tim Orlosky
46,baseball,Geneva,Bob Down
47,baseball,Faith Christian,Shawn Hardiman
48,baseball,Legacy Charter,Jack Chambless
49,baseball,Bradenton Christian,Colton Hudson
50,baseball,Brito,Willie Vazquez
51,baseball,Riviera Prep,Emilio Fernandez
52,baseball,North Florida Christian,Mike Posey
53,baseball,"Trinity Christian Academy (Deltona, FL)",Bryan Maples
54,baseball,Glades Day,Steve Elizarde
55,baseball,University Christian,John Sirmon
56,baseball,Archbishop Carroll,Servio Borgues
57,baseball,Southwest Florida Christian,JW Wilkerson
58,baseball,St. Petersburg Catholic,Ron Rhoads
59,baseball,"Canterbury (Fort Myers, FL)",Frank Turco
60,baseball,Cambridge Christian,Stephen Piercefield
61,baseball,Brevard HEAT,Stanley Thurman
62,baseball,Santa Fe Catholic,David Saliba
63,baseball,Miami Christian,Chris Cuadra
64,baseball,Lake Mary Prep,Jonathan Krot
65,baseball,Doctors Charter,Pete Sass
66,baseball,Aucilla Christian,Daryl Adams
67,baseball,Bishop McLaughlin Catholic,Marc Eskew
68,baseball,"Trinity Christian Academy (Lake Worth, FL)",Miguel Cuello
69,baseball,Academy at the Lakes,Ken Akins
70,baseball,St. Joseph Academy,Phillip Wisser
71,baseball,Seven Rivers Christian,Travis Phillips
72,baseball,Lake Worth Christian,Austin Johnson
73,baseball,Foundation Academy,Chase Newman
74,baseball,Neumann,Artie Clyde
75,baseball,Indian Rocks Christian,Wally Winans
76,baseball,All Saints' Academy,Michael Panico
77,baseball,Eagle's View,Daryl Bizier
78,baseball,"Canterbury (St. Petersburg, FL)",Johnny Lancaster
79,baseball,Community School of Naples,Chad N. Ott
80,baseball,First Academy,Clint Patterson
81,baseball,Evangelical Christian,Jeff Kieffer
82,baseball,Mount Dora Christian Academy,Jason Sanders
83,baseball,Orangewood Christian,Scott Hilinski
84,baseball,Florida A&M,"Sylvester Peck, Sr."
85,baseball,Northside Christian,Raul Hernandez
86,baseball,Saint Francis Catholic,Joshua Chappell
87,baseball,Christ's Church Academy,Kurt Dugan
88,baseball,City of Life Christian Academy,Wendell Perez
89,baseball,St. John Paul II,Ken Silvestri
