,sport,school,coach
1,baseball,Doherty Memorial,E Whalen
2,baseball,Grafton,Brian Andersen
3,baseball,North Middlesex Regional,Jim Beauregard
4,baseball,Shepherd Hill Regional,Shaune Ducharme
5,baseball,St. John's,charlie eppinger
6,baseball,Wachusett Regional,Mark Peters
7,baseball,Advanced Math & Science Academy,Mike Lubawski
8,baseball,Blackstone Valley RVT,John Burke
9,baseball,Keefe Tech,Kevin Lopez
10,baseball,Montachusett RVT,Kevin Anderson
11,baseball,Tyngsborough,Ken Connerty
12,baseball,Blackstone-Millville,Christopher Pilling
13,baseball,Douglas,Brian McGrath
14,baseball,Leicester,Leicester High School
15,baseball,Littleton,Joel Morehouse
16,baseball,Maynard,Jim Stewart
17,baseball,Murdock,Matthew Lapointe
18,baseball,Oxford,Justin Richards
19,baseball,St. Bernard's Central Catholic,Jim Beauregard
20,baseball,Sutton,Scott Kennedy
21,baseball,Academy of the Pacific Rim,Caleb Balderston
22,baseball,Boston Collegiate,Matt Underhill
23,baseball,Boston Prep,Giovany Morales
24,baseball,City on a Hill,Abobomi Docanto
25,baseball,Community Charter School of Cambridge,Michael Gammariello
26,baseball,Foxborough Regional Charter,Evan Cardullo
27,baseball,Kennedy Health Careers,Roger Nix
28,baseball,KIPP Academy Lynn Collegiate,Alberto Cuevas
29,baseball,Paulo Freire Social Justice Charter School,Manny Cruz
30,baseball,Prospect Hill Academy,Geoff Lerner
31,baseball,Roxbury Prep Charter,Kevin Mejia
32,baseball,Acton-Boxborough,Patrick Grucela
33,baseball,Andover,daniel grams
34,baseball,Cambridge Rindge & Latin,Mike Caron
35,baseball,Lincoln-Sudbury,Matthew Wentworth
36,baseball,Lowell,Dan Graham
37,baseball,Lynn Classical,Michael Zukowski
38,baseball,Malden,Steve Freker
39,baseball,Medford,Mike Nestor
40,baseball,Methuen,Cam Roper
41,baseball,Newton North,Joseph Siciliano
42,baseball,Newton South,Mike Aiena
43,baseball,Peabody Veterans Memorial,Mark Bettencourt
44,baseball,Revere,Michael Manning
45,baseball,St. John's Prep,Dan Letarte
46,baseball,Waltham,Mike Peterson
47,baseball,Belmont,James Brown
48,baseball,Billerica Memorial,Joe Higgins
49,baseball,Burlington,Dan Hirsch
50,baseball,Chelsea,Jack Halas
51,baseball,Concord-Carlisle,Mark Hernandez
52,baseball,Danvers,Shawn Secondini
53,baseball,East Boston,Kory Giberti
54,baseball,Greater Lawrence Tech,Chris Cyr
55,baseball,Greater Lowell Tech,David Maclaughlan
56,baseball,Melrose,Bill Hirschfeld
57,baseball,North Andover,Todd Dulin
58,baseball,Reading Memorial,Dave Blanchard
59,baseball,Somerville,coach dunphy
60,baseball,Tewksbury Memorial,Kirk Monbleau
61,baseball,Wakefield Memorial,Kevin Canty
62,baseball,Whittier RVT,Joe Boland
63,baseball,Adams,Jeff Hall
64,baseball,Allen Park,Glenn Gulliver
65,baseball,Alpena,Phil Schultz
66,baseball,Anderson,Dan Neil
67,baseball,Athens,Mike Morris
68,baseball,Avondale,Tom Kurczewski
69,baseball,Bedford,c t
70,baseball,Belleville,Caleb Kennedy
71,baseball,Berkley,Matt Rawlik
72,baseball,Bloomfield Hills,Frank DiVito
73,baseball,Caledonia,Pat Gillies
74,baseball,Canton,Robert Mitchell
75,baseball,Carlson,Chad Liptow
76,baseball,"Central (Battle Creek, MI)",James Young
77,baseball,"Central (Bay City, MI)",G Garcia
78,baseball,Clarkston,Phil Price
79,baseball,Cousino,Justin Newcomb
80,baseball,Crestwood,pat succurro
81,baseball,Dakota,Ken Thoel
82,baseball,Dearborn,Eric Jenks
83,baseball,Dexter,Don Little
84,baseball,Dow,Kip Harris
85,baseball,East Lansing,Mark Pendred
86,baseball,Eastpointe,Shaun Rivers
87,baseball,Edsel Ford,George Kontos
88,baseball,Everett,Tim Walker
89,baseball,Flushing,Stephen Burdis
90,baseball,Fordson,Brent Proctor
91,baseball,Forest Hills Central,Thad Abel
92,baseball,Franklin,Matt Fournier
93,baseball,Gaylord,Dan Mygrants
94,baseball,Grand Blanc,Kevin Hubbs
95,baseball,Grand Haven,Michael Hansen
96,baseball,Grosse Pointe South,Dan Griesbaum
97,baseball,Groves,Shawn Morrison
98,baseball,Hamtramck,Adam Mused
99,baseball,Hartland,Brian Morrison
100,baseball,Heritage,Bob Andrezejewski
101,baseball,Holland,Eric Rozema
102,baseball,Holly,Benny Jackson
103,baseball,Holt,KEITH ALLEN
104,baseball,Howell,Mike Weatherly
105,baseball,Hudsonville,Dave Van Noord
106,baseball,Jackson,Charles Hoover
107,baseball,Jenison,Timothy Keur
108,baseball,Kalamazoo Central,Scott Spada
109,baseball,Lakeland,Brad Farquhar
110,baseball,"Lakeview (St. Clair Shores, MI)",Scott Kuhle
111,baseball,Lapeer,Steve Wills
112,baseball,Lowell,Juston Miller
113,baseball,Melvindale,Merle Shepard
114,baseball,Mona Shores,Brandon Bard
115,baseball,"Mott (Waterford, MI)",Dale Kirk
116,baseball,"Mott (Warren, MI)",Shawn Maloney
117,baseball,Muskegon,Darnell Gates
118,baseball,North Farmington,Betsy Stanis
119,baseball,Novi,Ben Abler
120,baseball,Oak Park,Richard Miller
121,baseball,Okemos,Phil Magsig
122,baseball,Ottawa Hills,Tywon Bivins
123,baseball,Plymouth,Scott McGregor
124,baseball,Port Huron,Kyle Sheppard
125,baseball,Port Huron Northern,Robert Kearns
126,baseball,Portage Central,Paul Schneider
127,baseball,Portage Northern,Chris Andrews
128,baseball,Reeths-Puffer,Tim Schuppe
129,baseball,Rockford,Matt Vriesenga
130,baseball,Romeo,T.J. Delamielleure
131,baseball,Roosevelt,Brian Cotner
132,baseball,Roseville,Keith Marzec
133,baseball,Saline,Scott Theisen
134,baseball,Skyline,Frank Garcia
135,baseball,South Lyon,Chris Lowery
136,baseball,South Lyon East,Rich Robinson
137,baseball,Southfield Arts & Tech,Darren Mosley
138,baseball,Sterling Heights Stevenson,Joseph Emanuele
139,baseball,Stevenson,Rick Berryman
140,baseball,Stoney Creek,Clint Rodger
141,baseball,Swartz Creek,Mike Miller
142,baseball,Taylor,Thomas Schwartz
143,baseball,Troy,James Ellis
144,baseball,Union,Eric Zudweg
145,baseball,Utica,Mark Moehlig
146,baseball,Utica Ford,Ryan Joseph
147,baseball,Walled Lake Central,Ken LaCross
148,baseball,Walled Lake Northern,Kevin La Plante
149,baseball,Walled Lake Western,Erik Peterson
150,baseball,Wayne Memorial,Kerry Johnson
151,baseball,West Bloomfield,Jerry Brown
152,baseball,West Ottawa,Jim Caserta
153,baseball,Western International,Juan Carlos Sanchez
154,baseball,Woodhaven,Corey Farner
155,baseball,Adrian,Greg Jackson
156,baseball,Algonac,Mike Kras
157,baseball,Allendale,Nick Bosker
158,baseball,Annapolis,Ryan McKay
159,baseball,Armada,Jeff Jackson
160,baseball,Belding,Dave Riches
161,baseball,Benton Harbor,Corey Sterling
162,baseball,Benzie Central,Eric Johnston
163,baseball,Birch Run,Billy Cork
164,baseball,Brandon,Joel Dohm
165,baseball,Bullock Creek,Scott Madill
166,baseball,Carrollton,Nick Conners
167,baseball,Catholic Central,Brent Serba
168,baseball,Cedar Springs,Michael Schaub
169,baseball,Center Line,Rob Conti
170,baseball,Chandler Park Academy,CPA Eagles
171,baseball,Charlotte,Jjohn Doe
172,baseball,Chavez Academy,Angel Garcia
173,baseball,Cheboygan,Kevin Baller
174,baseball,Chippewa Hills,Ben Wright
175,baseball,Clarenceville,Craig Cotter
176,baseball,Coldwater,Randy Spangler
177,baseball,Communication Media Arts,devin lucas
178,baseball,Comstock Park,Tim Johnson
179,baseball,Corunna,Brian Osborn
180,baseball,Cranbrook Kingswood,Andrew Fairman
181,baseball,Denby,David Craig
182,baseball,Detroit Country Day,Frank Orlando
183,baseball,Divine Child,Tony Demare
184,baseball,Dowagiac,Dan Schuchardt
185,baseball,East Grand Rapids,Chris Lamange
186,baseball,Eaton Rapids,Jeremy Zubal
187,baseball,Edwardsburg,A.J. Gaideski
188,baseball,Escanaba,Don Lauscher
189,baseball,Fitzgerald,Paul Hrycaj
190,baseball,Flat Rock,steve ernest
191,baseball,Flint Southwestern Academy,Jonathan Clark
192,baseball,Forest Hills Eastern,Bill Curtis
193,baseball,Fowlerville,Matt Hunt
194,baseball,Frankenmuth,Gordon Culver
195,baseball,Freeland,Mitch Wheatcraft
196,baseball,Fruitport,Michael Giddings
197,baseball,Gabriel Richard,Greg Lenhoff
198,baseball,Garber,Bill Harris
199,baseball,Glenn,Jeff Hartt
200,baseball,Goodrich,Bob Foreback
201,baseball,Grant,Brian Chesebro
202,baseball,Grosse Ile,Mario Garza
203,baseball,Harper Creek,Chad Dishaw
204,baseball,Harper Woods,Robert Cardinal
205,baseball,Haslett,Josh Schiebner
206,baseball,Hastings,Jason Burghardt
207,baseball,Hazel Park,Don Righter
208,baseball,Ida,Steve Orr
209,baseball,Imlay City,Chaz Hill
210,baseball,Jefferson,Matt Kolak
211,baseball,Kearsley,Drew Johnson
212,baseball,Kelloggsville,John Linker
213,baseball,Kenowa Hills,Bruce Oosterhouse
214,baseball,Lake Fenton,Hewitt Judso
215,baseball,Lakewood,Brad Tacey
216,baseball,Lamphere,Adam Wooley
217,baseball,Lansing Catholic,Randy Farlin
218,baseball,Lincoln,Victor Breithaupt
219,baseball,Linden,Steve Buerkel
220,baseball,Ludington,MATTHEW McDonald
221,baseball,Marshall,Trevor Kelly
222,baseball,Mason,Dave Burkholder
223,baseball,Milan,Adam Gilles
224,baseball,Mumford,Kenny Mac
225,baseball,Niles,Mike Vota
226,baseball,North Branch,Chuck Jacobson
227,baseball,Notre Dame Prep,Darren Audia
228,baseball,Oakridge,Brandon Barry
229,baseball,Ogemaw Heights,Chris Powley
230,baseball,Otsego,Matt Eldred
231,baseball,Pennfield,Rob Moran
232,baseball,Petoskey,Mike Loper
233,baseball,Plainwell,c taylor
234,baseball,Powers Catholic,Tom Dutkowski
235,baseball,Richmond,Anthony Bloink
236,baseball,River Rouge,Coach Do-Right
237,baseball,Riverview,Chris Haut
238,baseball,Robichaud,Elvis Johnson
239,baseball,Romulus,Dan Wood
240,baseball,Sexton,Chris Cross
241,baseball,South Christian,John Boersma
242,baseball,South Haven,Dave McWhinnie
243,baseball,Spring Lake,Brian Sabo
244,baseball,St. Mary Prep,Matt Petry
245,baseball,Sturgis,Drew Rutenbar
246,baseball,Swan Valley,Brian Stephens
247,baseball,Tecumseh,Tom Bullinger
248,baseball,Thornapple Kellogg,Jack Hobert
249,baseball,Trenton,Todd Szalka
250,baseball,Unity Christian,Doug Vander Ploeg
251,baseball,University Prep,Kirthmon Dozier Jr
252,baseball,Wayland,Brian Huberty
253,baseball,West Catholic,George Rosinski
254,baseball,Western,Russell Gaston
255,baseball,Williamston,Brad Vansickler
256,baseball,Yale,Brian Fowler
257,baseball,Zeeland East,Shawn Wyckoff
258,baseball,Memphis,Guy Walsh
259,baseball,Atherton,Adam Biggers
260,baseball,Bangor,Lynn Johnson
261,baseball,Berrien Springs,John Donley
262,baseball,Bishop Foley,Timothy McEvoy
263,baseball,Black River,Tim Marroquin
264,baseball,Blissfield,Ferdinando Russo
265,baseball,Bloomingdale,Mark Harris
266,baseball,Boyne City,l Todd
267,baseball,Bronson,Matt Watkins
268,baseball,Buchanan,Lonnie Hoover
269,baseball,Byron,Lance Wilson
270,baseball,Cabrini,Franco Succurro
271,baseball,Calvin Christian,Brian Gritter
272,baseball,Canton Preparatory,Wade Figley
273,baseball,Caro,Victor Gomez
274,baseball,Cass City,Josh Stern
275,baseball,Central Montcalm,Rocky Studley
276,baseball,Charlevoix,Nick Vuillemot
277,baseball,Chesaning,Brian Guyer
278,baseball,Clinton,Joe Gillies
279,baseball,Clintondale,Jason Machalak
280,baseball,Coloma,Kevin Vanpeteghem
281,baseball,Columbia Central,steve tompkins
282,baseball,Comstock,Rich Bailey
283,baseball,Constantine,Jerry Burgess
284,baseball,Covenant Christian,Jim Schimmel
285,baseball,Detroit Cristo Rey,Chris Pratt
286,baseball,Dundee,J. Simmons
