,sport,school,coach
1,dance,Arkadelphia,Caroline Reed
2,dance,Bauxite,Charlotte Tarver
3,dance,Beebe,Alison Embrey-Fadely
4,dance,Blytheville,Kandace McDonald
5,dance,Carlisle,Tammy Morgenstern
6,dance,Centennial,Audrey Abeyta
7,dance,Century,Hallie Hano
8,dance,Cibola,Jose Chacon
9,dance,Denmark,Coach Kat
10,dance,Dumas,Tarji Anderson-Russell
11,dance,Farmington,Mychelle McGee
12,dance,Gallup,Kristy Tiley
13,dance,Gosnell,Breanne Gardner
14,dance,Grants,Michele Dodds
15,dance,Guerin,Maggie Weiner
16,dance,Har-Ber,Dawn Rhodes
17,dance,Hillcrest,Faith Stibal
18,dance,Hot Springs,Katie Henson
19,dance,Idaho Arts Charter,Amanda Bromund
20,dance,John Marshall,Kacy Schwieder
21,dance,Jonesboro,Caroline Crawford
22,dance,Las Cruces,Audrey Solorzano
23,dance,Little Rock Christian Academy,Carrie Long
24,dance,McGehee,Kayla Bryant
25,dance,Metea Valley,Erin Johnson
26,dance,Moriarty,Taña Chavez
27,dance,Mountain View,Lesia Morris
28,dance,North Little Rock,Alexandria Rodgers
29,dance,Oakley,Stacy Gillette
30,dance,Payette,Keeli Phillips
31,dance,Piedra Vista,Ashley Harris
32,dance,Post Falls,Heidi Wagner
33,dance,Richard,Maggie Jaskula
34,dance,Rigby,Cassi Murdock
35,dance,Rio Rancho,Courtney Willis
36,dance,Rogers,Madeline Van Hoose
37,dance,Rogers Heritage,Symphony Philp
38,dance,Russellville,Nina Chiolino
39,dance,Sandia Prep,Louie/Courtney Giannini
40,dance,Severance,Devon Rosson
41,dance,Silver,Kourtney Epps
42,dance,Skyview,Annie Calhoun
43,dance,Southside,Shani Kramer
44,dance,Springdale,Kyla Gillespie
45,dance,Syracuse,Cristina Powers
46,dance,Teton,Rikki Beard
47,dance,Timberline,Jennifer Smart & Ashley Maggard
48,dance,Valencia,Cheyenne Tachias
49,dance,Valley View,Holly Cockrell
50,dance,Van Buren,Laura Rogers
