,sport,school,coach
1,football,Avon Old Farms,Pierce Brennan
2,football,Brunswick School,Michael Hannigan
3,football,Cheshire Academy,David Dykeman
4,football,Choate Rosemary Hall School,Lawrence Spinnato
5,football,Deerfield Academy,Brian Barbato
6,football,Hotchkiss School,Dan Smith
7,football,Kent School,Brian Sullivan
8,football,Phillips Academy,Charles 'Trey' Brown
9,football,Salisbury School,Chris Phelps
10,football,Suffield Academy,Andrew Gamere
11,football,Taft School,Tyler Whitley
12,football,Trinity-Pawling School,Nick LaFontaine
13,football,Williston Northampton,Tom Beaton
14,football,Albany Academy for Boys,Bo Buran
15,football,Belmont Hill,Chris Butler
16,football,Berkshire School,Mike McCabe
17,football,Buckingham Browne & Nichols,Adam Farkes
18,football,Canterbury School,Jim Stone
19,football,Governor's Academy,Jim O'Leary
20,football,Lawrence Academy,Paul Zukauskas
21,football,Milton Academy,Kevin Macdonald
22,football,St. Sebastian's School,Robert Souza
23,football,Tabor Academy,Chris Rorke
24,football,Brooks,Patrick Foley
25,football,Capital Prep Harbor,Khamarr Smith
26,football,Cushing Academy,Ryan Suchanek
27,football,Groton School,John Lyons
28,football,Hamden Hall Country Day,Joe Linta
29,football,Hopkins,Tim Phipps
30,football,King,Danny Gouin
31,football,Kingswood Oxford,Jason Martinez
32,football,Middlesex,Joe Lang
33,football,New Hampton School,Matthew Mansur
34,football,Noble & Greenough,Panos Voulgaris
35,football,Pingree,Mike Flynn
36,football,Portsmouth Abbey,Alfred Brown
37,football,Proctor Academy,Casey McCormack
38,football,Rivers,Tom Bourdeau
39,football,Rye Country Day,John Calandros
40,football,St. George's,John Mackay
41,football,St. Luke's,Joe Bonaddio
42,football,St. Mark's,Chris Young
43,football,St. Paul's,Craig Vandersea
44,football,Thayer Academy,Jeff Toussaint
45,football,Choate Rosemary Hall School,Lawrence Spinnato
46,football,Deerfield Academy,Brian Barbato
47,football,Phillips Academy,Charles 'Trey' Brown
48,football,Suffield Academy,Andrew Gamere
49,football,Avon Old Farms,Pierce Brennan
50,football,Brunswick School,Michael Hannigan
51,football,Hotchkiss School,Dan Smith
52,football,Kent School,Brian Sullivan
53,football,Salisbury School,Chris Phelps
54,football,Taft School,Tyler Whitley
55,football,Trinity-Pawling School,Nick LaFontaine
56,football,Berkshire School,Mike McCabe
57,football,Hamden Hall Country Day,Joe Linta
58,football,New Hampton School,Matthew Mansur
59,football,Barrington,Drew Genetti
60,football,Bishop Hendricken,Keith Croft
61,football,Central,Peter Rios
62,football,Cranston East,Thomas Centore
63,football,Cranston West,Jay Bombardier Jr
64,football,Cumberland,Josh Lima
65,football,East Providence,Jay Monteiro
66,football,La Salle Academy,Geoff Marcone
67,football,Moses Brown,Vincent Ucci
68,football,North Kingstown,Joe Gilmartin
