,sport,school,coach
0,Badminton,Aragon,Linda Brown
1,Badminton,Clayton Valley Charter,William Kong
2,Badminton,De Anza,Eric Chandler
3,Badminton,St. Mary's,Felicia Rowley
4,Badminton,Vallejo,Mac McKenzie
5,dance,Arkadelphia,Caroline Reed
6,dance,Bauxite,Charlotte Tarver
7,dance,Beebe,Alison Embrey-Fadely
8,dance,Blytheville,Kandace McDonald
9,dance,Carlisle,Tammy Morgenstern
10,dance,Centennial,Audrey Abeyta
11,dance,Century,Hallie Hano
12,dance,Cibola,Jose Chacon
13,dance,Denmark,Coach Kat
14,dance,Dumas,Tarji Anderson-Russell
15,dance,Farmington,Mychelle McGee
16,dance,Gallup,Kristy Tiley
17,dance,Gosnell,Breanne Gardner
18,dance,Grants,Michele Dodds
19,dance,Guerin,Maggie Weiner
20,dance,Har-Ber,Dawn Rhodes
21,dance,Hillcrest,Faith Stibal
22,dance,Hot Springs,Katie Henson
23,dance,Idaho Arts Charter,Amanda Bromund
24,dance,John Marshall,Kacy Schwieder
25,dance,Jonesboro,Caroline Crawford
26,dance,Las Cruces,Audrey Solorzano
27,dance,Little Rock Christian Academy,Carrie Long
28,dance,McGehee,Kayla Bryant
29,dance,Metea Valley,Erin Johnson
30,dance,Moriarty,Taña Chavez
31,dance,Mountain View,Lesia Morris
32,dance,North Little Rock,Alexandria Rodgers
33,dance,Oakley,Stacy Gillette
34,dance,Payette,Keeli Phillips
35,dance,Piedra Vista,Ashley Harris
36,dance,Post Falls,Heidi Wagner
37,dance,Richard,Maggie Jaskula
38,dance,Rigby,Cassi Murdock
39,dance,Rio Rancho,Courtney Willis
40,dance,Rogers,Madeline Van Hoose
41,dance,Rogers Heritage,Symphony Philp
42,dance,Russellville,Nina Chiolino
43,dance,Sandia Prep,Louie/Courtney Giannini
44,dance,Severance,Devon Rosson
45,dance,Silver,Kourtney Epps
46,dance,Skyview,Annie Calhoun
47,dance,Southside,Shani Kramer
48,dance,Springdale,Kyla Gillespie
49,dance,Syracuse,Cristina Powers
50,dance,Teton,Rikki Beard
51,dance,Timberline,Jennifer Smart & Ashley Maggard
52,dance,Valencia,Cheyenne Tachias
53,dance,Valley View,Holly Cockrell
54,dance,Van Buren,Laura Rogers
55,drill,Oceanside,Luis Aguilar
56,drill,Sandia,Ann Holmes
57,drill,Syracuse,Cristina Powers
58,Basketball,Soda Springs,Wade Schvaneveldt
59,Basketball,Melba,David Lenz
60,Basketball,Cole Valley Christian,Annie Mintz
61,Basketball,New Plymouth,Denise Oliver
62,Basketball,Grangeville,Michelle Barger
63,Basketball,Declo,Ashley Baker
64,Basketball,Bear Lake,Brenda Messerly
65,Basketball,Ririe,Jake Landon
66,Basketball,Firth,Sharla Cook
67,Basketball,West Jefferson,Jalena Dixon
68,Basketball,Nampa Christian,Jaime Wood
69,Basketball,Aberdeen,Ryan Wahlen
70,Basketball,McCall-Donnelly,Cody Hansen
71,Basketball,Orofino,Tessa Mullinix
72,Basketball,Wendell,Delon Huse
73,Basketball,St. Maries,Jay Sines
74,Basketball,West Side,Ben Bennett
75,Basketball,Salmon,Pat Behrens
76,Basketball,Marsing,Jake Dugger
77,Basketball,Vision,Robert McDougall
78,Basketball,Sugar-Salem,Crystal Dayley
79,Basketball,Parma,Michael Calkins
80,Basketball,Timberlake,Matt Miller
81,Basketball,Filer,Michael Amaya
82,Basketball,Snake River,Jeff Steadman
83,Basketball,Kellogg,Jana Nearing
84,Basketball,Fruitland,Amber Drollinger
85,Basketball,Marsh Valley,Kyle McQuivey
86,Basketball,Kimberly,Stan Watts
87,Basketball,Bonners Ferry,Rich Feickert
88,Basketball,Payette,Tory Bratcher
89,Basketball,Weiser,Laraine Harrison
90,Basketball,Gooding,Ben Rayfield
91,Basketball,South Fremont,Ryan Campbell
92,Basketball,Priest River,Gary Stewart
93,Basketball,Buhl,Karen Peterson
94,Basketball,Bonneville,Ryan Erikson
95,Basketball,Caldwell,William Rodgers
96,Basketball,Century,Chris Shuler
97,Basketball,Twin Falls,Nancy Jones
98,Basketball,Preston,Ryan Harris
99,Basketball,Middleton,Jacob Doty
100,Basketball,Blackfoot,Courtnie Smith
